WOInfo{wcDescription=null, partNumber=PT_9, workOrder=WO_9, runHours=1.0, setupHours=1.5, qty=45, age=12, salesPrice=0.0, turn=NA, day=MONDAY, machine=}

WOInfo{wcDescription=null, partNumber=PT_6, workOrder=WO_6, runHours=2.5, setupHours=2.0, qty=55, age=8, salesPrice=0.0, turn=NA, day=MONDAY, machine=}

WOInfo{wcDescription=null, partNumber=PT_3, workOrder=WO_3, runHours=0.2, setupHours=0.5, qty=14, age=6, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_3, workOrder=WO_3, runHours=1.4, setupHours=0.5, qty=94, age=4, salesPrice=0.0, turn=NA, day=MONDAY, machine=}

WOInfo{wcDescription=null, partNumber=PT_5, workOrder=WO_5, runHours=0.7, setupHours=0.5, qty=240, age=6, salesPrice=0.0, turn=NA, day=MONDAY, machine=}

WOInfo{wcDescription=null, partNumber=PT_10, workOrder=WO_11, runHours=0.5, setupHours=2.5, qty=96, age=6, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_10, workOrder=WO_10, runHours=0.5, setupHours=2.0, qty=12, age=5, salesPrice=0.0, turn=NA, day=MONDAY, machine=}

WOInfo{wcDescription=null, partNumber=PT_4, workOrder=WO_4, runHours=3.4, setupHours=3.3, qty=14, age=5, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_4, workOrder=WO_4, runHours=5.7, setupHours=3.3, qty=24, age=1, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_4, workOrder=WO_4, runHours=5.7, setupHours=3.3, qty=24, age=1, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_7, workOrder=WO_7, runHours=0.8, setupHours=0.5, qty=40, age=5, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_12, workOrder=WO_13, runHours=1.5, setupHours=0.8, qty=47, age=5, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_8, workOrder=WO_8, runHours=1.0, setupHours=1.0, qty=30, age=4, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_8, workOrder=WO_8, runHours=1.3, setupHours=1.0, qty=39, age=3, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_1, workOrder=WO_1, runHours=4.2, setupHours=0.3, qty=7, age=3, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_11, workOrder=WO_12, runHours=1.1, setupHours=0.8, qty=22, age=3, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
WOInfo{wcDescription=null, partNumber=PT_2, workOrder=WO_2, runHours=1.1, setupHours=2.3, qty=20, age=2, salesPrice=0.0, turn=NA, day=MONDAY, machine=}
